"hub_id","title","type","source","search_keyword"
"c4e629a525ec44af917fe62bbed9b6cb","Hate Crime","Feature Service","City of Ottawa","crime"
"7b45f3aea40b4c1aa49e62cf78a22590","Overdose Calls","Feature Service","City of Ottawa","crime"
"dc6496aae0e045d4a88d1cd648865e23","Shootings","Feature Service","City of Ottawa","crime"
"5474727b6dae435cb00e656c2e2a5e31","Theft of Motor Vehicle","Feature Service","City of Ottawa","crime"
"26c41557563743ec91a6a94cf88d5799","Bike Theft","Feature Service","City of Ottawa","crime"
"36973da8486143e79ee07e941512200e","Homicide","Feature Service","City of Ottawa","crime"
"ff52fb17b9e0482e936f529abdeaf0bd","Criminal Offences","Feature Service","City of Ottawa","crime"
"1e33b1f96a0a490db6ea4d7f59e3f3d3","Canadian Housing Survey (CHS) results for Ottawa level 2018 and 2021 ","Feature Service","City of Ottawa","crime"
"565f3820f94a4e9e8911900e128a2db4","Community Police Centres","Feature Service","City of Ottawa","police"
"ff3bc8fc0e72419985eed4f20ab729e0","Ottawa Police Service Neighbourhoods","Feature Service","City of Ottawa","police"
"e23877411e0847ea8ad147a8a8199ac0","Ottawa Police Service Divisions","Feature Service","City of Ottawa","police"
"9ec074e36d744e24b5ee4a008b998a51","Ottawa Police Service Sectors","Feature Service","City of Ottawa","police"
"5cda481fb74b4983aebcccd5a7b87b1a","City Facilities - Protective Services","Feature Service","City of Ottawa","police"
"468d48aee40540859bf2d646be135bb0","Traffic Stops by the Ottawa Police Service","Feature Service","City of Ottawa","police"
"d2ed3b30ced1475396639f7d4ff6465e","Dispatched Calls For Service","Feature Service","City of Ottawa","police"
"e88c52d7727e4a9dba6d427c9bd6445c","2026 Draft Budget Explorer - Datasets","CSV Collection","City of Ottawa","police"
"58ed97efc38d48969199556e29f7c96c","2024 Draft Budget Tool - Datasets","CSV Collection","City of Ottawa","police"
"cd6620f68d654e88b4aa1f6e0024c3f6","2025 Draft Budget Explorer Datasets","CSV Collection","City of Ottawa","police"
"9c16d7bda2cf4d4a8826e31ccd05d0bf","Total Fire Incident Volume","Feature Service","City of Ottawa","fire"
"1df881ffb2a24576b63ae48f26714644","Recovered Needles and Glass Pipes","Feature Service","City of Ottawa","fire"
"9019a23719a542a2834fd309ff8ac026","Hydrants","Feature Service","City of Ottawa","fire"
"8e6b3d5ca1184940a7f9d3e32e539acb","Closed Confirmed Reportable Outbreaks Excluding COVID19","Feature Service","City of Ottawa","ambulance"
"8cda788e9f544177aae611c681b29e25","Confirmed ED Visits for Any Mental or Substance Use Health Condition or Self-harm","Feature Service","City of Ottawa","ambulance"
"2237fa9590d6471e83de301e7cef954b","Suspected Drug Overdose Emergency Department Visits in Ottawa","Feature Service","City of Ottawa","ambulance"
"bf84a600ec18402bba04d8a6df8a9d12","Ongoing and recently closed reportable outbreaks in Ottawa","Feature Service","City of Ottawa","ambulance"
"8973061e1b0c4cd09b4495088c04c310","Wards 2022-2026","Feature Service","City of Ottawa","by-law"
"331876c8e15b4e608cbbfabdef2abce9","Street Food Vendors 2025","Feature Service","City of Ottawa","by-law"
"d82d0bd5fbc54343a42598f7075a298b","Road Centrelines","Feature Service","City of Ottawa","by-law"
"146fb790d2ce4357b8f9651b797dd7d3","Traffic Collision Data","Feature Service","City of Ottawa","traffic"
"9417009815ad458fa2962f68c915e9c6","Traffic Collisions by Location 2018","Feature Service","City of Ottawa","traffic"
"c1fb803188ff469b84aafa532eb99cdb","Traffic Collision by Location 2014","Feature Service","City of Ottawa","traffic"
"76b6e6b97a044d4191bd24a1b43e1a24","Traffic Collisions by Location 2016","Feature Service","City of Ottawa","traffic"
"50e67a97fb934d0ca1aac3b77d4058f1","Traffic Collision by Location 2017","Feature Service","City of Ottawa","traffic"
"101ad9f46f384b48a931caf8df05ee45","Traffic Collision by Location 2015","Feature Service","City of Ottawa","traffic"
"1c8a1c41ddb743c2bef193162a2af549","Traffic Collisions by Location 2013","Feature Service","City of Ottawa","traffic"
